20090524|20090524|0101|C0500114|1737
20090524|20090524|0103|C0500114|5353
20090524|20090524|0116|C0500114|11492
20090524|20090524|0121|C0500114|2633
20090524|20090524|0122|C0500114|20
20090524|20090524|0126|C0500114|2204
20090524|20090524|0130|C0500114|598
20090524|20090524|0203|C0500114|5184
20090524|20090524|0216|C0500114|3024
20090524|20090524|0220|C0500114|1161
20090524|20090524|0222|C0500114|96
20090524|20090524|0226|C0500114|388
20090524|20090524|0301|C0500114|360
20090524|20090524|0303|C0500114|2784
20090524|20090524|0316|C0500114|3432
20090524|20090524|0320|C0500114|360
20090524|20090524|0321|C0500114|252
20090524|20090524|0322|C0500114|132
20090524|20090524|0326|C0500114|960
20090524|20090524|0330|C0500114|264
20090524|20090524|0415|C0500114|657
20090524|20090524|0424|C0500114|1014
20090524|20090524|0430|C0500114|360
20090524|20090524|0501|C0500114|288
20090524|20090524|0503|C0500114|7536
20090524|20090524|0516|C0500114|2880
20090524|20090524|0521|C0500114|306
20090524|20090524|0526|C0500114|648
20090524|20090524|0601|C0500114|1464
20090524|20090524|0603|C0500114|7392
20090524|20090524|0616|C0500114|5592
20090524|20090524|0620|C0500114|803
20090524|20090524|0622|C0500114|60
20090524|20090524|0626|C0500114|2112
20090524|20090524|0902|C0500114|3613
20090524|20090524|0916|C0500114|1059
20090524|20090524|0918|C0500114|858
20090524|20090524|0925|C0500114|2629
20090524|20090524|0953|C0500114|5314
20090524|20090524|1003|C0500114|989
20090524|20090524|1401|C0500114|120
20090524|20090524|1403|C0500114|192
20090524|20090524|1416|C0500114|178
20090524|20090524|1426|C0500114|209
20090524|20090524|2615|C0500114|240
20090524|20090524|2617|C0500114|1523
20090524|20090524|3625|C0500114|1464
20090524|20090524|3664|C0500114|220
20090524|20090524|3670|C0500114|42
