||0101|C0500114|557
||0103|C0500114|8151
||0116|C0500114|6146
||0121|C0500114|430
||0122|C0500114|7
||0126|C0500114|629
||0130|C0500114|417
||0201|C0500114|240
||0203|C0500114|2472
||0220|C0500114|837
||0301|C0500114|672
||0316|C0500114|312
||0321|C0500114|279
||0326|C0500114|168
||0330|C0500114|48
||0415|C0500114|1845
||0424|C0500114|1094
||0430|C0500114|132
||0501|C0500114|408
||0503|C0500114|2904
||0516|C0500114|1860
||0521|C0500114|225
||0526|C0500114|192
||0601|C0500114|600
||0603|C0500114|2208
||0620|C0500114|549
||0622|C0500114|432
||0626|C0500114|840
||0902|C0500114|1392
||0916|C0500114|339
||0918|C0500114|23
||0925|C0500114|421
||0953|C0500114|6317
||1003|C0500114|767
||1403|C0500114|192
||2615|C0500114|168
||2617|C0500114|1088
||3625|C0500114|1132
||3664|C0500114|210
||3670|C0500114|42
